Agent,Market,Difference,Strategy Wins (%)
0.4312469569817327,0.6871444823663305,-0.2558975253845978,
0.13755518595326371,0.2991256327657537,-0.16157044681249,
0.7512022963140694,1.3691846711875222,-0.6179823748734528,
0.23371416651088064,2.094890510948946,-1.8611763444380656,
0.6324073048521187,1.8235586481112842,-1.1911513432591656,
1.0564544706746537,0.3352973669674102,0.7211571037072435,
0.656074763020486,0.47332301176496855,0.1827517512555174,
0.6101467613238313,0.96993037459671,-0.3597836132728788,
0.4523009934539152,0.8290962532369248,-0.3767952597830096,
1.1304982649294375,1.5791835304788626,-0.4486852655494251,
0.7716074287157861,1.9717514124294369,-1.2001439837136507,
0.6062384732424024,2.1376017972479477,-1.5313633240055453,
0.6283233155637473,1.2668926553672275,-0.6385693398034802,
0.6627725865570866,1.178680207604251,-0.5159076210471645,
0.9173794200096245,1.257331681123524,-0.33995226111389953,
0.8333798689906645,1.2206181288362188,-0.38723825984555427,
0.796083599985879,0.7153250647801342,0.08075853520574472,
0.6799483764021276,0.6518819303451177,0.02806644605700992,
0.8768810160418663,1.6823261694058462,-0.8054451533639799,
0.2544709010345421,2.1022950819672204,-1.8478241809326783,
0.8510435612879707,0.9523458302660943,-0.10130226897812367,
1.2022356712231863,1.6681295156542486,-0.4658938444310623,
0.35217634026376826,1.0614435158418394,-0.7092671755780711,
1.026774471256999,1.5931339433765443,-0.5663594721195453,
0.3792279705340136,1.3729079497907812,-0.9936799792567677,
1.0747619650717444,1.0185892538833894,0.056172711188354985,
1.0717296797099776,0.6213084112149548,0.45042126849502273,
0.8112173032075679,0.9509009301038361,-0.13968362689626823,
0.8013225392876613,0.8692386126920626,-0.06791607340440131,
0.8373500391761006,1.4294926940838066,-0.592142654907706,
1.3299008976247286,1.1024756957355761,0.2274252018891525,
0.8247740626999058,1.7130666666666343,-0.8882926039667285,
0.3614490145465342,0.6058823529411766,-0.24443333839464243,
1.0473384433742996,0.5525918304664401,0.4947466129078595,
1.1398576956186335,1.4518670537174914,-0.3120093580988579,
1.0393293179670862,1.4385784716515921,-0.399249153684506,
1.0536703127295441,1.5467601870407395,-0.49308987431119533,
1.0363138017281344,0.8025243404619529,0.2337894612661815,
0.9922862673598641,1.4544307789341604,-0.46214451157429626,
0.8111149241930722,1.6284501061570575,-0.8173351819639854,
